Marca temporal,Titulazioa,Kurtsoa,Adina,Género,Lengua materna,1. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es interesante.,2. ¿Porqué participas actualmente en esta actividad? Porque se supone que debo hacerlo.,3. ¿Porqué participas actualmente en esta actividad? Por mi propio bien,"4. ¿Porqué participas actualmente en esta actividad? Puede que haya buenas razones para realizar esta actividad, pero yo no veo ninguna",5. ¿Porqué participas actualmente en esta actividad? Porque disfruto con esta actividad,6. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es buena para mí,7. ¿Porqué participas actualmente en esta actividad? Porque es algo que tengo que hacer,"8. ¿Porqué participas actualmente en esta actividad? Realizo esta actividad, pero no estoy seguro de si vale la pena",9. ¿Porqué participas actualmente en esta actividad? Porque esta actividad es divertida,10. ¿Porqué participas actualmente en esta actividad? Por decisión personal,11. ¿Porqué participas actualmente en esta actividad? Porque no tengo otra alternativa,12. ¿Porqué participas actualmente en esta actividad? No lo sé; no veo qué me aporta esta actividad,13. ¿Porqué participas actualmente en esta actividad? Porque me siento bien realizando esta actividad,14. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es importante para mí,15. ¿Porqué participas actualmente en esta actividad? Porque creo que tengo que hacerlo,"16. ¿Porqué participas actualmente en esta actividad? Hago esta actividad, pero no estoy seguro de que sea conveniente continuar con ella",
2017/12/1 13:14:32,Lehen Hezkuntza,1.maila,19,Hombre,Español,7. Muy de acuerdo,6. Bastante,6. Bastante,2. Muy poco,6. Bastante,7. Muy de acuerdo,3. Poco,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/1 13:20:42,Magisterio primaria,1,18,Mujer,Español,2. Muy poco,7. Muy de acuerdo,5. Suficiente,6. Bastante,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,2. Muy poco,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,6. Bastante,6. Bastante,
2017/12/1 13:34:48,Lehen Hezkuntzako gradua,1.maila ,18,Mujer,Euskara,6. Bastante,1. No estoy de acuerdo en nada,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,2. Muy poco,
2017/12/1 13:34:50,Lehen Hezkuntzako Gradua,1.maila,24,Mujer,Español,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,2. Muy poco,
2017/12/1 13:39:14,Lehen hezkuntzako gradua,1.maila,18,Mujer,Euskara,3. Poco,6. Bastante,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,Opción 1
2017/12/1 16:54:08,Lehen hezkuntzako gradua,Lehenengo maila,18,Mujer,Euskara,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,5. Suficiente,4. Moderadamente,2. Muy poco,6. Bastante,3. Poco,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,Opción 1
2017/12/1 17:02:33,Educación primaria,Primer curso,18,Mujer,Español,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,Opción 1
2017/12/1 18:37:01,Lehen Hezkuntza,1,17,Mujer,Euskara,7. Muy de acuerdo,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,6. Bastante,3. Poco,2. Muy poco,2. Muy poco,5. Suficiente,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/1 23:44:55,Magisterio,1º,18,Mujer,Euskara,5. Suficiente,5. Suficiente,4. Moderadamente,2. Muy poco,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,Opción 1
2017/12/1 23:48:01,Magisterio,1º,18,Mujer,Euskara,5. Suficiente,6. Bastante,5. Suficiente,2. Muy poco,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,3. Poco,2. Muy poco,6. Bastante,3. Poco,6. Bastante,4. Moderadamente,6. Bastante,3. Poco,
2017/12/2 11:18:06,Peio Morentin,Lehen Hezkuntza 1,18,Hombre,Euskara,3. Poco,4. Moderadamente,3. Poco,6. Bastante,2. Muy poco,2. Muy poco,5. Suficiente,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,3. Poco,5. Suficiente,
2017/12/2 12:03:43,Magisterio primaria,1,18,Mujer,Español,5. Suficiente,6. Bastante,6. Bastante,3. Poco,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,2. Muy poco,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,2. Muy poco,
2017/12/2 13:49:17,Lehen Hezkuntza,1.maila,18,Mujer,Euskara,3. Poco,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,6. Bastante,7. Muy de acuerdo,
2017/12/3 13:32:33,Lehen Hezkuntza,1,18,Mujer,Español,6. Bastante,4. Moderadamente,5. Suficiente,2. Muy poco,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,
2017/12/3 17:29:45,Lehen hezkuntza,1,20,Mujer,Euskara,1. No estoy de acuerdo en nada,6. Bastante,3. Poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,2. Muy poco,5. Suficiente,
2017/12/4 13:03:48,Magisteritza,1,18,Mujer,Euskara,4. Moderadamente,6. Bastante,5. Suficiente,2. Muy poco,3. Poco,4. Moderadamente,7. Muy de acuerdo,5. Suficiente,3. Poco,2. Muy poco,6. Bastante,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,
2017/12/4 13:05:32,Magisteritza (Lehen Hezkuntza),1,17,Hombre,Español,6. Bastante,4. Moderadamente,4. Moderadamente,5. Suficiente,6. Bastante,5. Suficiente,5. Suficiente,2. Muy poco,5. Suficiente,6. Bastante,2. Muy poco,2. Muy poco,5. Suficiente,5. Suficiente,4. Moderadamente,2. Muy poco,
2017/12/4 13:10:51,Magisteritza,Lehenengo maila,18,Mujer,Español,5. Suficiente,6. Bastante,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,5. Suficiente,3. Poco,3. Poco,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,3. Poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/12/4 13:12:32,Lehen hezkuntza,lehen hezkuntza,25,Hombre,Euskara,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,3. Poco,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,2. Muy poco,3. Poco,3. Poco,3. Poco,Opción 1
2017/12/4 13:17:03,Magisteritza,1,18,Mujer,Español,4. Moderadamente,3. Poco,3. Poco,2. Muy poco,4. Moderadamente,4. Moderadamente,6. Bastante,4. Moderadamente,2. Muy poco,2. Muy poco,5. Suficiente,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,
2017/12/4 13:19:04,Lehen Hezkuntzako gradua euskaraz,LH 1. maila,18,Hombre,Español,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,3. Poco,6. Bastante,2. Muy poco,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,Opción 1
2017/12/4 14:05:34,Lehen hezkuntza,1,18,Mujer,Euskara,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,5. Suficiente,5. Suficiente,2. Muy poco,2. Muy poco,3. Poco,3. Poco,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,4. Moderadamente,3. Poco,
2017/12/4 14:11:31,Lehen Hezkuntza,1,21,Mujer,Español,7. Muy de acuerdo,1. No estoy de acuerdo en nada,5. Suficiente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,3. Poco,1. No estoy de acuerdo en nada,Opción 1
2017/12/4 14:13:18,Lehen Hezkuntza,1,18,Mujer,Español,6. Bastante,2. Muy poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,5. Suficiente,7. Muy de acuerdo,3. Poco,2. Muy poco,4. Moderadamente,7. Muy de acuerdo,2. Muy poco,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,Opción 1
2017/12/4 14:24:47,Komunikazio Gaitasunaren Garapena,1,21,Hombre,Español,5. Suficiente,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,Opción 1
2017/12/4 16:03:45,Educación primaria,1,18,Mujer,Español,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,2. Muy poco,2. Muy poco,3. Poco,6. Bastante,3. Poco,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,2. Muy poco,2. Muy poco,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/4 17:26:05,Magisteritza: Lehen Hezkuntza,1.,18,Hombre,Español,4. Moderadamente,5. Suficiente,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,3. Poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,5. Suficiente,3. Poco,3. Poco,6. Bastante,4. Moderadamente,
2017/12/4 18:40:38,Lehen Hezkuntzako Gradua,1,21,Mujer,Euskara,6. Bastante,5. Suficiente,6. Bastante,6. Bastante,6. Bastante,5. Suficiente,7. Muy de acuerdo,3. Poco,6. Bastante,6. Bastante,6. Bastante,3. Poco,6. Bastante,5. Suficiente,7. Muy de acuerdo,3. Poco,Opción 1
2017/12/4 19:50:56,Lehen Hezkuntza,Primer curso,19,Mujer,Español,4. Moderadamente,6. Bastante,4. Moderadamente,4. Moderadamente,2. Muy poco,2. Muy poco,5. Suficiente,4. Moderadamente,2. Muy poco,7. Muy de acuerdo,4. Moderadamente,6. Bastante,2. Muy poco,2. Muy poco,7. Muy de acuerdo,4. Moderadamente,Opción 1
2017/12/4 21:12:02,Educacion primaria,1,18,Mujer,Español,6. Bastante,5. Suficiente,6. Bastante,4. Moderadamente,6. Bastante,6. Bastante,6. Bastante,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,6. Bastante,4. Moderadamente,Opción 1
2017/12/5 11:45:47,Lehen Hezkuntza,1,19,Emakumea,Español,5. Suficiente,6. Bastante,6. Bastante,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,Opción 1
2017/12/7 12:32:00,Lehen Hezkuntza,?,?,Emakumea,Español,4. Moderadamente,6. Bastante,4. Moderadamente,2. Muy poco,5. Suficiente,6. Bastante,4. Moderadamente,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,2. Muy poco,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,5. Suficiente,1. No estoy de acuerdo en nada,Opción 1
2017/12/7 12:34:40,Ez,"Magizteritza, Lehen Hezkuntza",1. maila,Emakumea,Español,4. Moderadamente,6. Bastante,6. Bastante,5. Suficiente,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,3. Poco,5. Suficiente,4. Moderadamente,4. Moderadamente,3. Poco,6. Bastante,4. Moderadamente,
2017/12/7 19:06:36,Lehen Hezkuntza,1,19,Emakumea,Español,4. Moderadamente,7. Muy de acuerdo,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,7. Muy de acuerdo,4. Moderadamente,3. Poco,2. Muy poco,6. Bastante,7. Muy de acuerdo,3. Poco,3. Poco,2. Muy poco,4. Moderadamente,Opción 1
2017/12/8 11:37:20,?,?,?,Emakumea,Español,6. Bastante,4. Moderadamente,6. Bastante,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,3. Poco,5. Suficiente,5. Suficiente,3. Poco,
2017/12/11 13:44:32,Lehen Hezkuntzako gradua,Lehen maila,18,Emakumea,Euskara,3. Poco,7. Muy de acuerdo,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,5. Suficiente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,5. Suficiente,1. No estoy de acuerdo en nada,2. Muy poco,6. Bastante,7. Muy de acuerdo,
2017/12/12 11:33:23,Haur Hezkuntza,4,25,Emakumea,Español,5. Suficiente,5. Suficiente,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,
2017/12/12 11:37:09,Haur Hezkuntzako Gradua,4. maila,24,Emakumea,Español,6. Bastante,7. Muy de acuerdo,5. Suficiente,3. Poco,3. Poco,4. Moderadamente,6. Bastante,5. Suficiente,4. Moderadamente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,
2017/12/12 11:37:57,HAUR HEZKUNTZAKO GRADUA,4. MAILA,26,Emakumea,Euskara,5. Suficiente,7. Muy de acuerdo,7. Muy de acuerdo,5. Suficiente,3. Poco,4. Moderadamente,7. Muy de acuerdo,6. Bastante,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,6. Bastante,2. Muy poco,
2017/12/12 11:37:58,Haur Hezkuntzako Gradua,4. maila,22,Emakumea,Español,6. Bastante,7. Muy de acuerdo,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,3. Poco,
2017/12/12 11:39:47,Haur Hezkuntzako Gradua,4. maila,21,Emakumea,Español,4. Moderadamente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,3. Poco,4. Moderadamente,3. Poco,2. Muy poco,4. Moderadamente,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/12/12 11:46:54,Haur Hezkuntzako Gradua,4. maila,24,Emakumea,Español,6. Bastante,7. Muy de acuerdo,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,
2017/12/12 11:47:52,Haur Hezkuntza,4,20,Emakumea,Español,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,3. Poco,6. Bastante,5. Suficiente,3. Poco,3. Poco,3. Poco,4. Moderadamente,3. Poco,3. Poco,6. Bastante,6. Bastante,3. Poco,
2017/12/12 21:44:19,Haur Hezkuntzako Gradua,4.maila,20,Emakumea,Euskara,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,3. Poco,4. Moderadamente,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,2. Muy poco,3. Poco,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/14 8:59:49,Lehen Hezkuntza,1. maila,19,Gizona,Euskara,5. Suficiente,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,4. Moderadamente,6. Bastante,4. Moderadamente,6. Bastante,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,6. Bastante,6. Bastante,7. Muy de acuerdo,
2017/12/14 13:13:41,Haur Hezkuntzako Gradua,4. maila,21,Emakumea,Español,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,2. Muy poco,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,
2017/12/14 20:02:20,Haur Hezkuntzako gradua,4.maila,21,Emakumea,Euskara,6. Bastante,4. Moderadamente,5. Suficiente,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,5. Suficiente,2. Muy poco,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/17 16:34:54,Haur Hezkuntzako Gradua,4,31,Emakumea,Euskara,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,3. Poco,1. No estoy de acuerdo en nada,
2017/12/17 19:16:39,Haur Hezkuntza,4.maila,22,Emakumea,Español,4. Moderadamente,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,3. Poco,6. Bastante,2. Muy poco,1. No estoy de acuerdo en nada,3. Poco,5. Suficiente,3. Poco,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,
2017/12/18 9:22:05,Haur Hezkuntza,4. Maila,21,Emakumea,Español,5. Suficiente,3. Poco,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,3. Poco,2. Muy poco,4. Moderadamente,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,4. Moderadamente,2. Muy poco,
2017/12/18 9:22:35,HAUR HEZKUNTZA,4,21,Emakumea,Español,7. Muy de acuerdo,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,4. Moderadamente,6. Bastante,4. Moderadamente,2. Muy poco,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,
2017/12/18 9:34:54,Haur Hezkuntzako gradua,4. kurtsoa,22,Emakumea,Español,6. Bastante,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,4. Moderadamente,3. Poco,
2017/12/18 9:57:40,Haur Hezkuntza,4. MAILA,21,Emakumea,Español,4. Moderadamente,6. Bastante,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,2. Muy poco,3. Poco,6. Bastante,5. Suficiente,
2017/12/18 9:57:44,Haur Hezkuntza ,4. maila ,21,Emakumea,Euskara,4. Moderadamente,6. Bastante,3. Poco,6. Bastante,2. Muy poco,3. Poco,6. Bastante,4. Moderadamente,2. Muy poco,5. Suficiente,3. Poco,3. Poco,3. Poco,3. Poco,6. Bastante,3. Poco,
2017/12/18 9:58:55,Haur Hezkuntza,4,21,Emakumea,Euskara,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,
2017/12/18 10:02:18,Haur Hezkuntza,4,21,Emakumea,Español,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,
2017/12/18 16:04:57,Haur Hezkuntza,4,21,Emakumea,Español,4. Moderadamente,3. Poco,4. Moderadamente,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,7. Muy de acuerdo,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,
2017/12/19 9:02:15,haur hezkuntza,4,23,Gizona,Español,5. Suficiente,3. Poco,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,2. Muy poco,3. Poco,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,4. Moderadamente,2. Muy poco,
2017/12/19 17:21:16,Haur Hezkuntza,4,21,Emakumea,Español,2. Muy poco,4. Moderadamente,2. Muy poco,4. Moderadamente,2. Muy poco,2. Muy poco,7. Muy de acuerdo,4. Moderadamente,2. Muy poco,3. Poco,7. Muy de acuerdo,6. Bastante,3. Poco,2. Muy poco,7. Muy de acuerdo,3. Poco,
2017/12/19 20:00:09,Haur hezkuntza,4.maila,21,Emakumea,Español,5. Suficiente,5. Suficiente,6. Bastante,6. Bastante,5. Suficiente,6. Bastante,6. Bastante,3. Poco,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/19 23:04:08,Haur Hezkuntza,4,21,Emakumea,Español,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,
2017/12/20 17:31:04,Haur Hezkuntza,4,22,Emakumea,Español,6. Bastante,5. Suficiente,6. Bastante,3. Poco,5. Suficiente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,5. Suficiente,6. Bastante,6. Bastante,5. Suficiente,
2017/12/22 11:13:41,Haur Hezkuntza,4,24,Emakumea,Español,6. Bastante,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/23 14:39:19,Haur Hezkuntzako Gradua,4. maila,26,Emakumea,Euskara,4. Moderadamente,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,6. Bastante,5. Suficiente,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,3. Poco,3. Poco,3. Poco,5. Suficiente,5. Suficiente,3. Poco,
2018/1/5 11:46:34,Haur Hezkuntzako Gradua,4. maila,24,Emakumea,Euskara,6. Bastante,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,3. Poco,
2018/6/13 2:03:32,Ikus-entzunezko Komunikazioa,Lehenengo kurtsoa,18,Gizona,Español,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,2. Muy poco,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,
2018/6/13 9:54:14,Publizitate eta Harreman Publikoak,1,19,Gizona,Euskara,5. Suficiente,1. No estoy de acuerdo en nada,2. Muy poco,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,2. Muy poco,3. Poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,
2018/6/13 14:45:21,Kazetaritza,1,19,Gizona,Español,6. Bastante,4. Moderadamente,6. Bastante,2. Muy poco,7. Muy de acuerdo,6. Bastante,4. Moderadamente,2. Muy poco,6. Bastante,6. Bastante,3. Poco,2. Muy poco,6. Bastante,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,
2018/6/13 19:35:01,KAZETARITZA,1. Kurtsoa,18,Emakumea,Euskara,5. Suficiente,5. Suficiente,4. Moderadamente,4. Moderadamente,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,
2018/6/14 11:10:28,publizitatea eta harreman publikoak,1,18,Emakumea,Español,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,2. Muy poco,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,5. Suficiente,1. No estoy de acuerdo en nada,2. Muy poco,
2018/6/14 12:28:19,Kazetaritza,1,19,Emakumea,Español,5. Suficiente,3. Poco,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,3. Poco,3. Poco,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,
